ra,dec,deVRad_r,z,diametro_kpc
194.83755027636,28.4414771516295,7.949426,0.02189435,6.942060801559663
194.846473958468,28.4885986089472,9.693698,0.0233463,9.011181833391626
194.898630354025,28.5513647259983,3.899453,0.02529903,3.9190349041417303
194.922106048695,28.5071954101907,11.54331,0.02748123,12.569535430213932
195.007640576844,28.4348164330296,7.008108,0.02699485,7.5003864448575746
195.082823142696,28.4392284427739,7.939473,0.02369337,7.487113490323497
195.059240619592,28.4580656213662,10.77624,0.02610259,11.163753222771257
195.182794772885,28.4163326730284,4.253963,0.02092743,3.5549021767414857
194.267666475023,27.7300401263326,15.08277,0.02963925,17.66835779414702
194.386815981333,27.6103468882452,5.663945,0.02012796,4.55667862292881
194.324192435811,27.8109217672694,6.934409,0.02383198,6.57649184059856
194.358832303792,27.6593995831894,9.079633,0.01686044,6.142586443708894
194.367263593688,27.7007661438191,6.853213,0.02155076,5.893240150166642
194.364626812105,27.6362551509885,6.121056,0.02682374,6.510814479705682
194.442321586703,27.7570277744987,16.63171,0.02044867,13.588341541534438
194.449426308868,27.7694430488118,5.249608,0.01928272,4.05004783999506
194.313778975464,27.7298272736429,15.35158,0.01922159,11.80698115404738
194.326051271511,27.747358024387,23.32605,0.02287642,21.259102768493108
194.467957084075,27.7396342945644,4.802572,0.02310237,4.41906069404911
194.460665091628,27.6437333523947,4.154403,0.02271923,3.7609598169868024
194.471376049855,27.707306287808,10.96656,0.02151302,9.414310836636394
194.514658223815,27.6824484401272,3.771018,0.02412642,3.6193033036081497
194.268935737416,27.7730112532035,11.59445,0.02512812,11.576290624750504
195.122312006143,28.4556429094416,12.28926,0.02411931,11.791464642938935
194.733756557692,28.463629028495,9.890933,0.01972125,7.8002903566473005
194.568852773982,27.8025525900058,6.375162,0.01899429,4.846496435018956
194.579922745252,27.7620674876368,3.891645,0.01818292,2.834840973961217
194.612821592326,27.7066155934414,5.701218,0.02335642,5.302039148755498
194.631665985428,27.6734902125585,2.383816,0.02306956,2.1904253117557966
194.646608296653,27.59640874119,5.117198,0.02564392,5.210882265244874
194.697502913701,27.674715526321,10.79207,0.02796219,11.950394998631916
194.717062701033,27.785051267967,4.487188,0.01885658,3.387051284034426
194.742097406075,27.5947022585962,3.148486,0.02004855,2.523220694869295
194.781212167301,27.7677646272029,3.22885,0.02121973,2.734987550743298
194.784165676772,27.784117701493,5.650623,0.02344777,5.274969477476627
194.778525159531,27.7724548926383,4.284105,0.02083039,3.5638999171887598
194.772062128779,27.6444041288121,8.873775,0.01812557,6.444088767807086
194.689761125662,27.7538787606315,8.381367,0.02209566,7.384802644617967
194.740101228361,27.7854263854028,9.345555,0.02314709,8.615451944300109
194.806238406711,27.7745923018939,7.131958,0.02276696,6.469723937111336
194.792934776432,27.6198568777866,2.870748,0.0191456,2.19937704565404
194.827255285657,27.5935943588469,7.941635,0.01744308,5.554519976607834
194.853878187874,27.7388318633023,3.195884,0.02011746,2.5697990962354007
194.915871460822,27.5764682393636,9.156333,0.01671366,6.141620505046507
194.946451172212,27.7103012472927,8.204112,0.02798339,9.091328951345414
194.826472027384,27.7157317807831,2.86131,0.02225661,2.538973823961065
194.907624171543,27.7768238663616,19.91554,0.0226934,18.00948914892143
194.922146333642,27.6598262214408,11.343,0.02251487,10.178854112731972
194.883652583971,27.7204548963996,12.27611,0.02561127,12.485423013409477
195.026050713646,27.6852929888578,2.798347,0.02516739,2.7982007319100637
194.983802165236,27.7463121860577,7.757606,0.02975941,9.123015908191073
195.006213693971,27.7312628487315,13.55523,0.02691501,14.465861152858093
195.043379377926,27.5949975652798,6.374953,0.01865591,4.761912756413335
195.093244819042,27.6235520775816,7.500251,0.02535635,7.554482087353696
195.115212136445,27.6252079523193,4.79329,0.01959315,3.756150835245079
195.140293060488,27.6377481111137,14.23999,0.02496448,14.1278299926898
195.148647783798,27.5742246050628,15.7082,0.01699532,10.710265531802053
195.212900712822,27.7429850706734,10.8834,0.02713366,11.705871891792528
195.243237919461,27.6520880345483,20.41595,0.01737385,14.223773067446913
195.29675363848,27.7425053994269,5.886728,0.0245768,5.752300300845805
195.274232732489,27.7088828176486,12.28772,0.0291256,14.15327282393938
195.301202251965,27.6044757364926,9.447919,0.02519144,9.456184418808835
195.313343376905,27.6692238659144,7.271061,0.02355825,6.818771367793744
195.402158508294,27.7079322673888,7.184117,0.02639038,7.521956876630547
195.451200492897,27.7284454146125,6.602733,0.01828631,4.836468475701467
195.446831442817,27.6217919690725,10.11898,0.02598125,10.4356229492835
194.3749669616,28.1880718222029,13.88248,0.02312829,12.787828634885065
194.36846399274,28.1764273673947,7.939559,0.02724953,8.574855620458546
194.452787511593,28.1804376645757,3.528869,0.02411293,3.3850566363632977
194.459317214646,28.1703586697569,10.44251,0.02307632,9.598080457718972
194.401851097404,28.0770428265329,11.12138,0.0224864,9.967695501710523
194.40496564219,28.0403833913442,12.32316,0.02144919,10.54830198867142
194.444608381974,28.1407845899127,9.891989,0.02138568,8.442847301164344
