ra,dec,deVRad_r,z,diametro_kpc
195.228149806243,28.6910129100988,4.372199,0.1427402,21.692389031171963
194.030524805387,28.5037961752654,2.048535,0.1456439,10.337498243346252
195.065275870061,28.6048933589481,3.368453,0.1790612,20.15493806798556
194.533297911335,28.5288196760934,1.578226,0.3582131,15.726885899912054
194.758987916984,28.4684089186436,1.266879,0.1836596,7.736727283465092
195.211503417779,28.4199402787245,1.402848,0.2216189,9.930288201315104
194.639623949222,27.2688585481131,1.615136,0.1531809,8.501956090329347
194.709210108925,27.1836533816958,2.677054,0.1569921,14.382637185097684
193.823437815545,27.6576220495917,2.503946,0.1367879,11.983205252294859
195.408071698992,27.5911831062106,3.231695,0.1270317,14.51838675380691
194.823356568157,28.1845852179244,2.17545,0.1594996,11.842112767127151
195.831283503321,28.0290602814108,1.087366,0.1616884,5.98609736477948
194.376579571566,27.4692158257673,3.007844,0.1274186,13.548090301046111
194.69204321152,27.5024994585339,2.549829,0.2848061,21.732975745246918
195.046027984395,27.4807763063309,2.486221,0.1568877,13.350007743749279
194.66077246157,27.9432627281696,1.693767,0.156305,9.066812344720034
194.669748340951,27.9204146375466,3.649304,0.1672873,20.65998611628043
194.693613513393,27.9017945842255,7.922716,0.1579231,42.7743945071753
195.640612606486,27.8705127455454,2.437738,0.4284874,27.15985377929266
195.449398649481,28.4857545263287,2.17897,0.16576,12.243488214357024
195.485725908439,28.38865961879,8.023178,0.162522,44.35630042149313
195.012876196564,27.1935991189659,2.957144,0.1200169,12.649389088840746
195.205139616488,27.2907189576043,2.188406,0.1453615,11.025322393844535
195.246196338508,27.1865087246676,3.122533,0.1575392,16.824454155405878
194.12321609798,27.8141116135251,9.890627,0.1558827,52.82619566254783
194.21999022961,27.7710148260786,1.077117,0.3261739,10.08669226544722
194.640700746178,27.6746470239857,0.7420492,0.1887735,4.632418807723249
195.027780479926,27.7211090379101,1.7255,0.145541,8.702198624909673
195.098931656182,27.6631009282603,1.630634,0.3783316,16.829230691413247
193.969260359415,28.1194442304042,1.95357,0.1114079,7.831880861064106
195.117187497574,28.0696877683651,1.015933,0.3913586,10.710672951649826
194.400123134897,27.111944804729,1.476926,0.4216157,16.296835191658335
194.461176425808,27.110985822637,2.427588,0.1374111,11.66270854893956
195.348076606807,27.0558510191061,4.092218,0.20148,26.90014082177036
195.173066392999,27.416572472815,2.315047,0.460778,26.908893133416626
195.833577740949,27.441175011748,1.362017,0.1123856,5.5022463005521525
194.817596446877,27.9863258063278,3.297235,0.1584034,17.84645218009091
195.21967831891,27.8256283071179,19.12056,0.4536214,220.26118214809603
195.563798205365,27.9175560920431,1.821445,0.1613622,10.010612451936431
195.972299671211,27.7908791857838,2.313478,0.3624574,23.230309535455937
195.183036891753,28.1922284079437,1.767783,0.1895842,11.073614354615394
195.363800424933,28.1821369634544,2.273579,0.162743,12.583605347604776
195.436836096382,28.1922556962381,0.5154195,0.3718939,5.261687216095133
195.459397047307,28.6882570165227,1.444115,0.4194039,15.884492462712954
194.867362688194,28.632549424907,1.862758,0.3802814,19.287571346567752
195.429730745277,28.7381308881483,5.044978,0.2217398,35.726652810916626
194.783649517255,28.9362877175009,1.932564,0.1799506,11.60973045804844
194.743361080023,28.8808330853338,3.03602,0.4092957,32.90468932190052
193.971019300864,27.4014624001369,0.5114425,0.3156533,4.683727011210744
194.450387376016,27.2472912621953,1.860012,0.2864125,15.916941571081724
195.390089533688,27.1621487210998,1.979287,0.2334629,14.577944788065425
195.370043858333,27.2656602785589,25.85839,0.687535,366.76176214235966
193.986384223716,27.8210065438648,9.892162,0.1567214,53.07022689474563
194.249132031063,27.6933621431458,6.373798,0.1663025,35.910085573661306
